,EN,FR
0,Hi.,Salut!
1,Run!,Cours !
2,Run!,Courez !
3,Who?,Qui ?
4,Wow!,Ça alors !
5,Fire!,Au feu !
6,Help!,À l'aide !
7,Jump.,Saute.
8,Stop!,Ça suffit !
9,Stop!,Stop !
10,Stop!,Arrête-toi !
11,Wait!,Attends !
12,Wait!,Attendez !
13,Go on.,Poursuis.
14,Go on.,Continuez.
15,Go on.,Poursuivez.
16,Hello!,Bonjour !
17,Hello!,Salut !
18,I see.,Je comprends.
19,I try.,J'essaye.
20,I won!,J'ai gagné !
21,I won!,Je l'ai emporté !
22,I won.,J’ai gagné.
23,Oh no!,Oh non !
24,Attack!,Attaque !
25,Attack!,Attaquez !
26,Cheers!,Santé !
27,Cheers!,À votre santé !
28,Cheers!,Merci !
29,Cheers!,Tchin-tchin !
30,Get up.,Lève-toi.
31,Go now.,"Va, maintenant."
32,Go now.,Allez-y maintenant.
33,Go now.,Vas-y maintenant.
34,Got it!,J'ai pigé !
35,Got it!,Compris !
36,Got it?,Pigé ?
37,Got it?,Compris ?
38,Got it?,T'as capté ?
39,Hop in.,Monte.
40,Hop in.,Montez.
41,Hug me.,Serre-moi dans tes bras !
42,Hug me.,Serrez-moi dans vos bras !
43,I fell.,Je suis tombée.
44,I fell.,Je suis tombé.
45,I know.,Je sais.
46,I left.,Je suis parti.
47,I left.,Je suis partie.
48,I lied.,J'ai menti.
49,I lost.,J'ai perdu.
50,I paid.,J’ai payé.
51,I'm 19.,J'ai 19 ans.
52,I'm OK.,Je vais bien.
53,I'm OK.,Ça va.
54,Listen.,Écoutez !
55,No way!,C'est pas possible !
56,No way!,Impossible !
57,No way!,En aucun cas.
58,No way!,Sans façons !
59,No way!,C'est hors de question !
60,No way!,Il n'en est pas question !
61,No way!,C'est exclu !
62,No way!,En aucune manière !
63,No way!,Hors de question !
64,Really?,Vraiment ?
65,Really?,Vrai ?
66,Really?,Ah bon ?
67,Thanks.,Merci !
68,We try.,On essaye.
69,We won.,Nous avons gagné.
70,We won.,Nous gagnâmes.
71,We won.,Nous l'avons emporté.
72,We won.,Nous l'emportâmes.
73,Ask Tom.,Demande à Tom.
74,Awesome!,Fantastique !
75,Be calm.,Sois calme !
76,Be calm.,Soyez calme !
77,Be calm.,Soyez calmes !
78,Be cool.,Sois détendu !
79,Be fair.,Sois juste !
80,Be fair.,Soyez juste !
81,Be fair.,Soyez justes !
82,Be fair.,Sois équitable !
83,Be fair.,Soyez équitable !
84,Be fair.,Soyez équitables !
85,Be kind.,Sois gentil.
86,Be nice.,Sois gentil !
87,Be nice.,Sois gentille !
88,Be nice.,Soyez gentil !
89,Be nice.,Soyez gentille !
90,Be nice.,Soyez gentils !
91,Be nice.,Soyez gentilles !
92,Beat it.,Dégage !
93,Call me.,Appelle-moi !
94,Call me.,Appellez-moi !
95,Call us.,Appelle-nous !
96,Call us.,Appelez-nous !
97,Come in.,Entrez !
98,Come in.,Entre.
99,Come in.,Entre !
100,Come in.,Entrez !
101,Come on!,Allez !
102,Come on.,Allez !
103,Come on.,Viens !
104,Come on.,Venez !
105,Drop it!,Laisse tomber !
106,Drop it!,Laissez tomber !
107,Drop it!,Laisse-le tomber !
108,Drop it!,Laissez-le tomber !
109,Get Tom.,Va chercher Tom.
110,Get out!,Sortez !
111,Get out!,Sors !
112,Get out!,Sortez !
113,Get out.,Sors.
114,Get out.,Casse-toi.
115,Go away!,Dégage !
116,Go away!,Pars !
117,Go away.,Va te faire foutre !
118,Go away.,Pars !
119,Go away.,Dégage !
120,Go away.,Fous le camp !
121,Go away.,Pars d'ici.
122,Go away.,Va t'en !
123,Go away.,Disparais !
124,Go away.,Allez-vous en !
125,Go home.,Rentrez à la maison.
126,Go home.,Rentre à la maison.
127,Go home.,Rentre chez toi.
128,Go home.,Rentrez chez vous.
129,Go slow.,Va doucement !
130,Go slow.,Allez doucement !
131,Goodbye!,Adieu !
132,Goodbye!,À la revoyure.
133,Hang on!,Attends un peu !
134,Hang on!,Attendez un peu !
135,Hang on.,Tiens bon !
136,Hang on.,Tenez bon !
137,He quit.,Il laissa tomber.
138,He quit.,Il a laissé tomber.
139,He runs.,Il court.
140,Help me!,Aide-moi !
141,Help me.,Aide-moi.
142,Help me.,Aidez-moi.
143,Help us.,Aidez-nous !
144,Help us.,Aide-nous !
145,Hold it!,Ne bouge plus !
146,Hold on.,Ne quittez pas.
147,Hug Tom.,Fais un câlin à Tom.
148,I agree.,Je suis du même avis.
149,I cried.,J'ai pleuré.
150,I dozed.,Je me suis assoupi.
151,I dozed.,Je me suis assoupie.
152,I drive.,Je conduis.
153,I smoke.,Je fume.
154,I snore.,Je ronfle.
155,I stink.,Je pue.
156,I stood.,Je me suis tenu debout.
157,I stood.,Je me suis tenue debout.
158,I swore.,J’ai promis.
159,I swore.,J’ai juré.
160,I tried.,J'essayai.
161,I tried.,J'ai essayé.
162,I tried.,J'ai tenté.
163,I waved.,J’ai fait signe.
164,I'll go.,J'irai.
165,I'm Tom.,Je suis Tom.
166,I'm fat.,Je suis gras.
167,I'm fat.,Je suis gros.
168,I'm fit.,Je suis en forme.
169,I'm hit!,Je suis touché !
170,I'm hit!,Je suis touchée !
171,I'm ill.,Je suis malade.
172,I'm sad.,Je suis triste.
173,I'm shy.,Je suis timide.
174,I'm wet.,Je suis mouillé.
175,I'm wet.,Je suis mouillée.
176,It's me!,C'est bibi !
177,Join us.,Joignez-vous.
178,Join us.,Joignez-vous à nous.
179,Keep it.,Garde-le !
180,Keep it.,Gardez-le !
181,Kiss me.,Embrasse-moi.
182,Kiss me.,Embrassez-moi.
183,"Me, too.",Moi aussi.
184,Open up.,Ouvre-moi !
185,Open up.,Ouvre.
186,Perfect!,Parfait !
187,See you!,À plus tard !
188,See you!,À bientôt !
189,See you!,À la prochaine !
190,See you.,À plus.
191,Show me.,Montre-moi !
192,Show me.,Montrez-moi !
193,Shut up!,Taisez-vous !
194,Shut up!,Ferme-la !
195,Shut up!,Tais-toi !
196,Shut up!,Ferme-la !
197,Shut up!,La ferme !
198,Skip it.,Pas grave.
199,So long.,À plus tard !
200,Take it.,Prends-le !
201,Take it.,Prenez-le !
202,Take it.,Prends-le !
203,Take it.,Prenez-le !
204,Tell me.,Dis-moi !
205,Tell me.,Dites-moi !
206,Tom won.,Tom a gagné.
207,Wake up!,Réveille-toi !
208,Wake up!,Réveille-toi !
209,Wake up!,Réveillez-vous !
210,Wake up.,Réveille-toi !
211,Wake up.,Réveillez-vous !
212,Wash up.,Lave-toi !
213,Wash up.,Lavez-vous !
214,We know.,Nous savons.
215,We lost.,Nous perdîmes.
216,We lost.,Nous avons perdu.
217,We lost.,Nous fûmes battus.
218,We lost.,Nous fûmes battues.
219,We lost.,Nous fûmes défaits.
220,We lost.,Nous fûmes défaites.
221,We lost.,Nous avons été défaits.
222,We lost.,Nous avons été défaites.
223,We lost.,Nous avons été battus.
224,We lost.,Nous avons été battues.
225,Welcome.,Bienvenue !
226,Who won?,Qui a gagné ?
227,Who won?,Qui l'a emporté ?
228,You run.,Tu cours.
229,Am I fat?,Suis-je gros ?
230,Am I fat?,Suis-je grosse ?
231,Ask them.,Demande-leur.
232,Ask them.,Demandez-leur.
233,Back off!,Recule !
234,Back off!,Reculez.
235,Back off.,Recule !
236,Back off.,Reculez.
237,Back off.,Retire-toi !
238,Back off.,Retirez-vous.
239,Be a man.,Sois un homme !
240,Be a man.,Soyez un homme !
241,Be still.,Sois calme !
242,Be still.,Soyez calme !
243,Be still.,Soyez calmes !
244,Beats me.,Aucune idée.
245,Beats me.,J'en sais foutre rien.
246,Call Tom.,Appelle Tom.
247,Call Tom.,Appelez Tom.
248,Cheer up!,Courage !
249,Cool off!,Détends-toi !
250,Cuff him.,Menottez-le.
251,Drive on.,Avance !
252,Drive on.,Avancez !
253,Drive on.,Continue à rouler !
254,Drive on.,Continuez à rouler !
255,Find Tom.,Trouve Tom.
256,Find Tom.,Trouvez Tom.
257,Fix this.,Réparez ceci.
258,Fix this.,Répare ça.
259,Get down!,Lâche-toi !
260,Get down.,Descends !
261,Get down.,Descendez !
262,Get down.,Lâche-toi !
263,Get down.,Lâchez-vous !
264,Get lost!,Va voir ailleurs si j'y suis !
265,Get lost!,Dégage !
266,Get lost!,Va au diable !
267,Get real!,Sois réaliste !
268,Go ahead!,Passe devant !
269,Go ahead!,Vas-y !
270,Go ahead!,Avance !
271,Go ahead.,Vas-y.
272,Go ahead.,Poursuis !
273,Go ahead.,Passe devant !
274,Go ahead.,Vas-y !
275,Good job!,Bien joué !
276,Good job!,Bon boulot !
277,Good job!,Beau travail !
278,Grab him.,Attrape-le.
279,Grab him.,Attrapez-le.
280,Have fun.,Amuse-toi bien !
281,Have fun.,Amusez-vous bien !
282,He tries.,Il essaye.
283,He's wet.,Il est mouillé.
284,Help Tom.,Aide Tom.
285,Help Tom.,Aidez Tom.
286,"Hi, guys.","Salut, les mecs !"
287,How cute!,Comme c'est mignon !
288,How deep?,Quelle profondeur ?
289,How nice!,Comme c'est chouette !
290,How nice!,Comme c'est gentil !
291,How nice!,C'est du joli !
292,How nice!,Comme c'est agréable !
293,Hurry up.,Dépêche-toi.
294,Hurry up.,Grouille !
295,Hurry up.,Pressez-vous !
296,Hurry up.,Fiça !
297,I did OK.,Je m'en suis bien sorti.
298,I did OK.,Je m'en suis bien sortie.
299,I did it.,Je l'ai fait.
300,I did it.,C'est moi qui l'ai fait.
301,I failed.,J'ai échoué.
302,I forgot.,J'ai oublié.
303,I get it.,J'ai compris.
304,I got it.,J'ai compris.
305,I got it.,J'ai capté.
306,I helped.,J'ai aidé.
307,I jumped.,J'ai sauté.
308,I looked.,J’ai regardé.
309,I moaned.,J’ai râlé.
310,I nodded.,J’ai fait signe de la tête.
311,I obeyed.,J’ai obéi.
312,I phoned.,Je téléphonai.
313,I phoned.,J'ai téléphoné.
314,I refuse.,Je refuse.
315,I refuse.,Je le refuse.
316,I rested.,Je me suis reposé.
317,I rested.,Je me suis reposée.
318,I saw it.,Je l'ai vu.
319,I saw it.,Je l’ai vu.
320,I sighed.,J’ai soupiré.
321,I stayed.,Je suis resté.
322,I stayed.,Je suis restée.
323,I talked.,J’ai parlé.
324,I use it.,Je l'utilise.
325,I use it.,J'en fais usage.
326,I use it.,Je m'en sers.
327,I'll pay.,Je paierai.
328,I'll try.,Je vais essayer.
329,I'll try.,J'essaierai.
330,I'm back.,Je suis revenu.
331,I'm back.,Me revoilà.
332,I'm bald.,Je suis chauve.
333,I'm busy.,Je suis occupé.
334,I'm busy.,Je suis occupée.
335,I'm calm.,Je suis calme.
336,I'm cold.,J'ai froid.
337,I'm cool.,Je suis détendu.
338,I'm cool.,Je suis détendue.
339,I'm deaf.,Je suis sourd.
340,I'm deaf.,Je suis sourde.
341,I'm done.,J'en ai fini.
342,I'm fair.,Je suis juste.
343,I'm fair.,J'ai la peau claire.
344,I'm fair.,J'ai le teint clair.
345,I'm fast.,Je suis rapide.
346,I'm fine.,Tout va bien.
347,I'm fine.,Je vais bien.
348,I'm fine.,Ça va.
349,I'm free!,Je suis libre !
350,I'm free.,Je suis libre.
351,I'm free.,Je suis disponible.
352,I'm full.,Je suis repu !
353,I'm full.,Je suis rassasié !
354,I'm game.,J'en suis.
355,I'm game.,Je suis de la partie.
356,I'm glad.,Je suis content.
357,I'm home.,Je suis chez moi.
358,I'm late.,Je suis en retard.
359,I'm lazy.,Je suis paresseux.
360,I'm lazy.,Je suis fainéant.
361,I'm lazy.,Je suis paresseuse.
362,I'm lazy.,Je suis fainéante.
363,I'm okay.,Je vais bien.
364,I'm okay.,Je me porte bien.
365,I'm rich.,Je suis riche.
366,I'm safe.,Je suis en sécurité.
367,I'm sick.,Je suis malade.
368,I'm sure.,J'en suis certain.
369,I'm sure.,Je suis certain.
370,I'm sure.,J'en suis sûr.
371,I'm sure.,J'en suis sûre.
372,I'm tall.,Je suis grande.
373,I'm thin.,Je suis mince.
374,I'm tidy.,Je suis ordonné.
375,I'm tidy.,Je suis ordonnée.
376,I'm ugly.,Je suis laid.
377,I'm ugly.,Je suis laide.
378,I'm weak.,Je suis faible.
379,I'm well.,Je vais bien.
380,I'm well.,Je me porte bien.
381,I've won.,J'ai gagné.
382,I've won.,Je l'ai emporté.
383,It helps.,Ça aide.
384,It hurts.,Ça fait mal.
385,It works.,Elle marche.
386,It works.,Ça fonctionne.
387,It's Tom.,C'est Tom.
388,It's fun.,C'est marrant.
389,It's fun.,C'est rigolo.
390,It's his.,C'est le sien.
391,It's his.,C'est la sienne.
392,It's new.,C'est nouveau.
393,It's new.,C'est neuf.
394,It's odd.,C'est bizarre.
395,It's red.,Il est rouge.
396,It's sad.,C’est triste.
397,Keep out!,Défense d'entrer.
398,Keep out.,N'entrez pas.
399,Kiss Tom.,Embrasse Tom.
400,Leave it.,Laisse tomber !
401,Leave it.,Laissez tomber !
402,Leave me.,Laissez-moi !
403,Leave us.,Laisse-nous !
404,Leave us.,Laissez-nous !
405,Let's go!,Allons-y !
406,Let's go.,Allons-y !
407,Look out!,Attention !
408,Look out!,Regarde donc !
409,Marry me.,Épouse-moi !
410,Marry me.,Épousez-moi !
411,May I go?,Puis-je partir ?
412,May I go?,Puis-je y aller ?
413,May I go?,Puis-je m'y rendre ?
414,Save Tom.,Sauve Tom.
415,Save Tom.,Sauvez Tom.
416,Say what?,De quoi ?
417,She came.,Elle est venue.
418,She died.,Elle est morte.
419,She runs.,Elle court.
420,Sit down!,Assieds-toi !
421,Sit down!,Asseyez-vous !
422,Sit down.,Assieds-toi.
423,Sit here.,Assieds-toi ici.
424,Sit here.,Asseyez-vous ici.
425,Speak up!,Parle plus fort !
426,Speak up!,Parlez plus fort !
427,Stand up.,Lève-toi.
428,Stop Tom.,Arrête Tom.
429,Stop Tom.,Stoppez Tom.
430,Taste it.,Goûte-le.
431,Taste it.,Goûte-la.
432,Taste it.,Goûtez-le.
433,Taste it.,Goûtez-la.
434,Tell Tom.,Dis-le à Tom.
435,Tell Tom.,Informez-en Tom.
436,Terrific!,Génial !
437,Terrific!,Excellent !
438,Terrific!,Formidable !
439,They won.,Ils gagnèrent.
440,They won.,Elles gagnèrent.
441,They won.,Ils ont gagné.
442,They won.,Elles ont gagné.
443,Tom came.,Tom est venu.
444,Tom died.,Tom est mort.
445,Tom knew.,Tom savait.
446,Tom left.,Tom est parti.
447,Tom left.,Tom partit.
448,Tom lied.,Tom a menti.
449,Tom lies.,Tom ment.
450,Tom lost.,Tom a perdu.
451,Tom paid.,Tom a payé.
452,Too late.,Trop tard.
453,Trust me.,Faites-moi confiance.
454,Trust me.,Fais-moi confiance.
455,Try hard.,Fais un effort.
456,Try some.,Essaies-en !
457,Try some.,Essayez-en !
458,Try this.,Essaie ceci !
459,Try this.,Essayez ceci !
460,Use this.,Utilise ceci.
461,Use this.,Utilisez ceci.
462,Use this.,Emploie ceci !
463,Use this.,Employez ceci !
464,Warn Tom.,Avertis Tom.
465,Warn Tom.,Préviens Tom.
466,Watch me.,Regarde-moi !
467,Watch me.,Regardez-moi !
468,Watch us.,Regardez-nous !
469,Watch us.,Regarde-nous !
470,We agree.,Nous sommes d'accord.
471,We'll go.,Nous irons.
472,We're OK.,Nous allons bien.
473,What for?,Pour quoi faire ?
474,What for?,À quoi bon ?
475,What fun!,Qu'est-ce qu'on s'est marrés !
476,What fun!,Qu'est-ce qu'on s'est marrées !
477,Who came?,Qui est venu ?
478,Who died?,Qui est mort ?
479,Who fell?,Qui est tombé ?
480,Who quit?,Qui démissionne ?
481,Who's he?,Qui est-il ?
482,Write me.,Écris-moi !
483,Write me.,Écrivez-moi !
484,You lost.,Tu as perdu.
485,You lost.,Vous avez perdu.
486,After you.,Après vous.
487,Aim. Fire!,En joue ! Feu !
488,Am I late?,Suis-je en retard ?
489,Answer me.,Répondez-moi.
490,Be seated.,Assieds-toi !
491,Be seated.,Asseyez-vous !
492,Birds fly.,Les oiseaux volent.
493,Bless you.,À tes souhaits !
494,Call home!,Appelle à la maison !
495,Calm down!,Calmez-vous !
496,Calm down.,Calme-toi.
497,Can we go?,Pouvons-nous partir ?
498,Can we go?,Pouvons-nous nous en aller ?
499,Can we go?,Pouvons-nous y aller ?
500,Catch Tom.,Attrape Tom.
501,Catch Tom.,Attrapez Tom.
502,Catch him.,Rattrape-le.
503,Chill out.,Calme-toi.
504,Come back.,Reviens !
505,Come back.,Revenez !
506,Come here.,Viens ici.
507,Come here.,Venez là.
508,Come over!,Viens !
509,Come over!,Venez !
510,Come over.,Venez ici !
511,Come over.,Viens chez nous !
512,Come over.,Venez chez nous !
513,Come over.,Viens chez moi !
514,Come over.,Venez chez moi !
515,Come soon.,Viens bientôt !
516,Come soon.,Venez bientôt !
517,Cool down.,Calmez-vous !
518,Did I win?,Ai-je gagné ?
519,Did I win?,L'ai-je emporté ?
520,Did I win?,Est-ce moi qui ai gagné ?
521,Do it now.,Faites-le maintenant.
522,Dogs bark.,Des chiens aboient.
523,Dogs bark.,Les chiens aboient.
524,Don't ask.,Ne demande pas !
525,Don't cry.,Ne pleure pas !
526,Don't die.,Ne meurs pas !
527,Don't die.,Ne mourez pas !
528,Don't lie.,Ne mens pas.
529,Don't run.,Ne courez pas.
530,Don't run.,Ne cours pas.
